inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
ivy-2.0.csv pf,0.12396694214876033,0.08264462809917356,0.1322314049586777,0.10743801652892562,0.11570247933884298,0.09090909090909091,0.10743801652892562,0.11570247933884298,0.11570247933884298,0.08264462809917356,0.08264462809917356,0.09917355371900827,0.10743801652892562,0.1115702479338843,0.11570247933884298,0.1322314049586777,0.016110403875717296
ivy-2.0.csv pf,0.23770491803278687,0.22131147540983606,0.21311475409836064,0.22131147540983606,0.22131147540983606,0.21311475409836064,0.20491803278688525,0.22950819672131148,0.19672131147540983,0.20491803278688525,0.19672131147540983,0.20901639344262296,0.21639344262295085,0.21721311475409835,0.22131147540983606,0.23770491803278687,0.011707259718922704
ivy-2.0.csv pf,0.128,0.136,0.128,0.128,0.12,0.144,0.136,0.128,0.136,0.144,0.12,0.128,0.1328,0.132,0.136,0.144,0.007332121111929341
ivy-2.0.csv pf,0.125,0.13333333333333333,0.11666666666666667,0.11666666666666667,0.10833333333333334,0.11666666666666667,0.10833333333333334,0.11666666666666667,0.1,0.11666666666666667,0.1,0.1125,0.11583333333333334,0.11666666666666667,0.11666666666666667,0.13333333333333333,0.008700255424092123
ivy-2.0.csv pf,0.11711711711711711,0.11711711711711711,0.0990990990990991,0.11711711711711711,0.11711711711711711,0.11711711711711711,0.11711711711711711,0.10810810810810811,0.11711711711711711,0.0990990990990991,0.0990990990990991,0.11261261261261261,0.11261261261261261,0.11711711711711711,0.11711711711711711,0.11711711711711711,0.00726329526873743
ivy-2.0.csv pf,0.11475409836065574,0.12295081967213115,0.11475409836065574,0.11475409836065574,0.14754098360655737,0.13114754098360656,0.12295081967213115,0.13934426229508196,0.13114754098360656,0.12295081967213115,0.11475409836065574,0.11885245901639344,0.1262295081967213,0.12295081967213115,0.13114754098360656,0.14754098360655737,0.01049692497939811
ivy-2.0.csv pf,0.11403508771929824,0.13157894736842105,0.09649122807017543,0.10526315789473684,0.11403508771929824,0.12280701754385964,0.12280701754385964,0.12280701754385964,0.09649122807017543,0.13157894736842105,0.09649122807017543,0.10964912280701754,0.11578947368421051,0.11842105263157894,0.12280701754385964,0.13157894736842105,0.012280701754385963
ivy-2.0.csv pf,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.07142857142857142,0.08928571428571429,0.08035714285714286,0.08928571428571429,0.08928571428571429,0.07142857142857142,0.08928571428571429,0.07142857142857142,0.08482142857142858,0.08482142857142858,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.007198444418123707
ivy-2.0.csv pf,0.0975609756097561,0.10569105691056911,0.11382113821138211,0.11382113821138211,0.11382113821138211,0.08130081300813008,0.08943089430894309,0.10569105691056911,0.0975609756097561,0.0975609756097561,0.08130081300813008,0.0975609756097561,0.10162601626016261,0.1016260162601626,0.10975609756097561,0.11382113821138211,0.01044327851923994
ivy-2.0.csv pf,0.16379310344827586,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.1206896551724138,0.1724137931034483,0.1810344827586207,0.16379310344827586,0.13793103448275862,0.14655172413793102,0.1206896551724138,0.13793103448275862,0.15000000000000002,0.1422413793103448,0.16379310344827586,0.1810344827586207,0.018164920263539205
